dataset,model,rate_hz,activity,folds,mean,std,min,max
rwhar,pure_cnn,6,7,15,0.45093362659099545,0.20163705425124817,0.0,0.6624636275460718
rwhar,pure_cnn,6,loso_sbj_0,1,0.48483179882001537,,0.48483179882001537,0.48483179882001537
rwhar,pure_cnn,6,loso_sbj_1,1,0.5352562702496713,,0.5352562702496713,0.5352562702496713
rwhar,pure_cnn,6,loso_sbj_10,1,0.7441348360419959,,0.7441348360419959,0.7441348360419959
rwhar,pure_cnn,6,loso_sbj_11,1,0.7866659103105641,,0.7866659103105641,0.7866659103105641
rwhar,pure_cnn,6,loso_sbj_12,1,0.5773511112334824,,0.5773511112334824,0.5773511112334824
rwhar,pure_cnn,6,loso_sbj_13,1,0.5044763003384634,,0.5044763003384634,0.5044763003384634
rwhar,pure_cnn,6,loso_sbj_14,1,0.5440996055185321,,0.5440996055185321,0.5440996055185321
rwhar,pure_cnn,6,loso_sbj_2,1,0.313902999498416,,0.313902999498416,0.313902999498416
rwhar,pure_cnn,6,loso_sbj_3,1,0.6459798845489612,,0.6459798845489612,0.6459798845489612
rwhar,pure_cnn,6,loso_sbj_4,1,0.6603375785163705,,0.6603375785163705,0.6603375785163705
rwhar,pure_cnn,6,loso_sbj_5,1,0.6251814928461016,,0.6251814928461016,0.6251814928461016
rwhar,pure_cnn,6,loso_sbj_6,1,0.6834731678149284,,0.6834731678149284,0.6834731678149284
rwhar,pure_cnn,6,loso_sbj_7,1,0.4442963266327224,,0.4442963266327224,0.4442963266327224
rwhar,pure_cnn,6,loso_sbj_8,1,0.757194797893034,,0.757194797893034,0.757194797893034
rwhar,pure_cnn,6,loso_sbj_9,1,0.7337584518671298,,0.7337584518671298,0.7337584518671298
rwhar,pure_cnn,12,0,15,0.652593044369483,0.23135859344007498,0.0,0.8818897637795275
rwhar,pure_cnn,12,1,15,0.8080405266057487,0.22506107882283283,0.1454965357967667,0.985179407176287
rwhar,pure_cnn,12,2,15,0.6965288858645469,0.36480382063456995,0.0030280090840272,0.9892555640828856
rwhar,pure_cnn,12,3,15,0.6216159210735435,0.27651327353030036,0.0014892032762472,0.9368575624082232
rwhar,pure_cnn,12,4,15,0.9759783534744353,0.023655517022442903,0.8927613941018767,0.991819244253993
rwhar,pure_cnn,12,5,15,0.8010959835885353,0.24791725690636746,0.2423841059602649,0.9689119170984456
rwhar,pure_cnn,12,6,15,0.6959100049051461,0.18947275071033623,0.247141041931385,0.886986301369863
rwhar,pure_cnn,12,7,15,0.6286016424541103,0.20977153357385472,0.0,0.8216880939072108
rwhar,pure_cnn,12,loso_sbj_0,1,0.6640097304021055,,0.6640097304021055,0.6640097304021055
rwhar,pure_cnn,12,loso_sbj_1,1,0.6307224109880437,,0.6307224109880437,0.6307224109880437
rwhar,pure_cnn,12,loso_sbj_10,1,0.8765652722200226,,0.8765652722200226,0.8765652722200226
rwhar,pure_cnn,12,loso_sbj_11,1,0.9181603986638928,,0.9181603986638928,0.9181603986638928
rwhar,pure_cnn,12,loso_sbj_12,1,0.726940788116375,,0.726940788116375,0.726940788116375
rwhar,pure_cnn,12,loso_sbj_13,1,0.6231477159419381,,0.6231477159419381,0.6231477159419381
rwhar,pure_cnn,12,loso_sbj_14,1,0.7524326030315969,,0.7524326030315969,0.7524326030315969
rwhar,pure_cnn,12,loso_sbj_2,1,0.3413520928044217,,0.3413520928044217,0.3413520928044217
rwhar,pure_cnn,12,loso_sbj_3,1,0.7811055054207552,,0.7811055054207552,0.7811055054207552
rwhar,pure_cnn,12,loso_sbj_4,1,0.8091810748047046,,0.8091810748047046,0.8091810748047046
rwhar,pure_cnn,12,loso_sbj_5,1,0.7130596877721722,,0.7130596877721722,0.7130596877721722
rwhar,pure_cnn,12,loso_sbj_6,1,0.83136235991936,,0.83136235991936,0.83136235991936
rwhar,pure_cnn,12,loso_sbj_7,1,0.670988337209856,,0.670988337209856,0.670988337209856
rwhar,pure_cnn,12,loso_sbj_8,1,0.8563061567097088,,0.8563061567097088,0.8563061567097088
rwhar,pure_cnn,12,loso_sbj_9,1,0.8303490453742011,,0.8303490453742011,0.8303490453742011
rwhar,pure_cnn,25,0,15,0.720855741625961,0.22103824638136535,0.0,0.9474085365853658
rwhar,pure_cnn,25,1,15,0.8095183754355786,0.2593628392184813,0.0,0.9886497064579256
rwhar,pure_cnn,25,2,15,0.6602836737270531,0.3532449858038521,0.0,0.9896193771626296
rwhar,pure_cnn,25,3,15,0.5954329054763119,0.2552818319854668,0.0,0.9348462664714496
rwhar,pure_cnn,25,4,15,0.9750761542752049,0.02924181358007647,0.8711576193590582,0.9926041261191124
rwhar,pure_cnn,25,5,15,0.83964257763966,0.22185400850549994,0.2513595166163142,0.9767441860465116
rwhar,pure_cnn,25,6,15,0.7076470460358515,0.19220914233597525,0.2466393921683226,0.8823893531414423
rwhar,pure_cnn,25,7,15,0.6819497526576247,0.23380366941398753,0.0,0.8368847821987554
rwhar,pure_cnn,25,loso_sbj_0,1,0.6601445869826332,,0.6601445869826332,0.6601445869826332
rwhar,pure_cnn,25,loso_sbj_1,1,0.6513656589734549,,0.6513656589734549,0.6513656589734549
rwhar,pure_cnn,25,loso_sbj_10,1,0.9005973469095467,,0.9005973469095467,0.9005973469095467
rwhar,pure_cnn,25,loso_sbj_11,1,0.9251599437591058,,0.9251599437591058,0.9251599437591058
rwhar,pure_cnn,25,loso_sbj_12,1,0.7422880412099668,,0.7422880412099668,0.7422880412099668
rwhar,pure_cnn,25,loso_sbj_13,1,0.6869479360928752,,0.6869479360928752,0.6869479360928752
rwhar,pure_cnn,25,loso_sbj_14,1,0.754814650032731,,0.754814650032731,0.754814650032731
rwhar,pure_cnn,25,loso_sbj_2,1,0.3242230510272934,,0.3242230510272934,0.3242230510272934
rwhar,pure_cnn,25,loso_sbj_3,1,0.7974370902851856,,0.7974370902851856,0.7974370902851856
rwhar,pure_cnn,25,loso_sbj_4,1,0.8236646149692441,,0.8236646149692441,0.8236646149692441
rwhar,pure_cnn,25,loso_sbj_5,1,0.7538784047478067,,0.7538784047478067,0.7538784047478067
rwhar,pure_cnn,25,loso_sbj_6,1,0.8460843470767969,,0.8460843470767969,0.8460843470767969
rwhar,pure_cnn,25,loso_sbj_7,1,0.6689405148712773,,0.6689405148712773,0.6689405148712773
rwhar,pure_cnn,25,loso_sbj_8,1,0.878098200504358,,0.878098200504358,0.878098200504358
rwhar,pure_cnn,25,loso_sbj_9,1,0.8183672879450593,,0.8183672879450593,0.8183672879450593
rwhar,pure_cnn,50,0,15,0.7547048334903491,0.2209299814864866,0.0,0.9446841898783837
rwhar,pure_cnn,50,1,15,0.8111966955904139,0.2646542998269523,0.0,0.9881777415409704
rwhar,pure_cnn,50,2,15,0.6645412958350466,0.34669400511213033,0.0,0.989204318272691
rwhar,pure_cnn,50,3,15,0.6038740342574608,0.24983443184053672,0.001556420233463,0.9420401854714064
rwhar,pure_cnn,50,4,15,0.9496864104162718,0.10012150934881953,0.6004206098843323,0.992298338062424
rwhar,pure_cnn,50,5,15,0.8473470276305153,0.21676130548922656,0.3737373737373737,0.981132075471698
rwhar,pure_cnn,50,6,15,0.7266278665561999,0.19025148329725125,0.2929860905593371,0.8847281015955715
rwhar,pure_cnn,50,7,15,0.6932135151618039,0.23986949916500536,0.0,0.8304742684157417
rwhar,pure_cnn,50,loso_sbj_0,1,0.7213088916891759,,0.7213088916891759,0.7213088916891759
rwhar,pure_cnn,50,loso_sbj_1,1,0.6370997242509375,,0.6370997242509375,0.6370997242509375
rwhar,pure_cnn,50,loso_sbj_10,1,0.8999156435821224,,0.8999156435821224,0.8999156435821224
rwhar,pure_cnn,50,loso_sbj_11,1,0.925553150230802,,0.925553150230802,0.925553150230802
rwhar,pure_cnn,50,loso_sbj_12,1,0.7554873440026685,,0.7554873440026685,0.7554873440026685
rwhar,pure_cnn,50,loso_sbj_13,1,0.6804679508244305,,0.6804679508244305,0.6804679508244305
rwhar,pure_cnn,50,loso_sbj_14,1,0.7687377888605839,,0.7687377888605839,0.7687377888605839
rwhar,pure_cnn,50,loso_sbj_2,1,0.34695471849021575,,0.34695471849021575,0.34695471849021575
rwhar,pure_cnn,50,loso_sbj_3,1,0.7966979905797654,,0.7966979905797654,0.7966979905797654
rwhar,pure_cnn,50,loso_sbj_4,1,0.831253013911357,,0.831253013911357,0.831253013911357
rwhar,pure_cnn,50,loso_sbj_5,1,0.7469975791606523,,0.7469975791606523,0.7469975791606523
rwhar,pure_cnn,50,loso_sbj_6,1,0.8450910120471758,,0.8450910120471758,0.8450910120471758
rwhar,pure_cnn,50,loso_sbj_7,1,0.6798692521952858,,0.6798692521952858,0.6798692521952858
rwhar,pure_cnn,50,loso_sbj_8,1,0.8775017122570833,,0.8775017122570833,0.8775017122570833
rwhar,pure_cnn,50,loso_sbj_9,1,0.8330486259266088,,0.8330486259266088,0.8330486259266088
