activity,f1,rate,split,csv_path
push-ups,0.832461,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
push-ups (complex),0.862816,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
sit-ups,0.652542,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
sit-ups (complex),0.648876,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (hamstrings),0.825175,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (lumbar rotation),0.956863,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (lunging),0.822622,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (shoulders),0.800000,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (triceps),0.876652,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
null,0.574975,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
bench-dips,0.000000,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
burpees,0.576623,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
jogging,0.817021,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
jogging (butt-kicks),0.747346,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
jogging (rotating arms),0.000000,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
jogging (sidesteps),0.914286,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
jogging (skipping),0.479339,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
lunges,0.225681,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
lunges (complex),0.721202,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
push-ups,0.000000,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
push-ups (complex),0.595388,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
