model,rate_hz,split,activity,f1,source
pure_cnn,12,loso_sbj_14,sitting,0.95382342076099,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
pure_cnn,12,loso_sbj_14,standing,0.9124036440084092,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
pure_cnn,12,loso_sbj_14,lying,0.977365491651206,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
pure_cnn,12,loso_sbj_14,jumping,0.8240740740740741,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
pure_cnn,12,loso_sbj_14,climbingup,0.6120074054482941,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
pure_cnn,12,loso_sbj_14,climbingdown,0.5533915379449295,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
pure_cnn,12,loso_sbj_2,walking,0.0,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
pure_cnn,12,loso_sbj_2,running,0.1454965357967667,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
pure_cnn,12,loso_sbj_2,sitting,0.9892555640828856,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
pure_cnn,12,loso_sbj_2,standing,0.0014892032762472,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
pure_cnn,12,loso_sbj_2,lying,0.9849478965650328,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
pure_cnn,12,loso_sbj_2,jumping,0.2423841059602649,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
pure_cnn,12,loso_sbj_2,climbingup,0.3672434367541766,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
