model,rate_hz,activity,mean,n_subjects,std
pure_cnn,10,G,0.14510708807925074,46,0.20918364157981795
pure_cnn,10,H,0.11115489252621626,46,0.22550999015397472
pure_cnn,10,I,0.04543296714519458,46,0.11275663353189579
pure_cnn,10,J,0.07909494835937424,46,0.15899104945593026
pure_cnn,10,K,0.05909279453943322,46,0.15437009875035823
pure_cnn,10,L,0.15090237577023954,45,0.20788014567494667
pure_cnn,10,M,0.28671265530088513,44,0.1758132960056808
pure_cnn,10,O,0.23172927472029947,44,0.22126613351895763
pure_cnn,10,P,0.3096306660573972,43,0.24158592778331323
pure_cnn,10,Q,0.060773770686150905,43,0.14231381250887218
pure_cnn,10,R,0.20523672240285457,41,0.24211650108154573
pure_cnn,10,S,0.3248224592412526,32,0.22468284275924413
pure_cnn,20,A,0.5082948302973118,49,0.30262842481694513
pure_cnn,20,B,0.7656200748261636,49,0.31481387856159443
pure_cnn,20,C,0.4556181189542263,49,0.24840512700894582
pure_cnn,20,D,0.2507011371989317,49,0.31471871536981894
pure_cnn,20,E,0.3854592860748209,49,0.35515843266975416
pure_cnn,20,F,0.09112674506717584,49,0.21869500136379097
pure_cnn,20,G,0.1490938635324357,49,0.23174010918044874
pure_cnn,20,H,0.08955885512994641,49,0.20671328232862385
pure_cnn,20,I,0.06218049575338907,49,0.1445606739568887
pure_cnn,20,J,0.08292526268698437,49,0.18440490514677488
pure_cnn,20,K,0.07380951705766928,48,0.17736262561675104
pure_cnn,20,L,0.1554890869762009,48,0.2246414670148902
pure_cnn,20,M,0.32600890455046183,48,0.2105700227726791
pure_cnn,20,O,0.24021914432718697,46,0.2102829344388574
pure_cnn,20,P,0.28582248569087787,46,0.2290778609174126
pure_cnn,20,Q,0.12129681347809,45,0.21928168176872032
pure_cnn,20,R,0.2203691601675388,44,0.2506344377931879
pure_cnn,20,S,0.29516114868446847,35,0.19661367214179162
