rate_hz,split,file,f1,acc,precision,recall
50,loso_sbj_16,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_16/best_macro_metrics_loso_sbj_16.csv,0.7329170353499478,0.8810470420409295,0.6774055641388873,0.6774055641388873
50,loso_sbj_17,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_17/best_macro_metrics_loso_sbj_17.csv,0.7379153024900809,0.8682990508847116,0.7056358985078015,0.7056358985078015
50,loso_sbj_18,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_18/best_macro_metrics_loso_sbj_18.csv,0.6183973839486869,0.7432486035357371,0.5896089053005842,0.5896089053005842
50,loso_sbj_19,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_19/best_macro_metrics_loso_sbj_19.csv,0.8582492088319563,0.9071557822279036,0.8323446514573776,0.8323446514573776
50,loso_sbj_2,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_2/best_macro_metrics_loso_sbj_2.csv,0.568985551497937,0.6679605985664608,0.6160525595353978,0.6160525595353978
50,loso_sbj_20,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_20/best_macro_metrics_loso_sbj_20.csv,0.8361480119423647,0.853048014210452,0.8652355401420863,0.8652355401420863
50,loso_sbj_21,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_21/best_macro_metrics_loso_sbj_21.csv,0.7655385899955327,0.8720854219120531,0.7142492280221542,0.7142492280221542
50,loso_sbj_3,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_3/best_macro_metrics_loso_sbj_3.csv,0.6694769787140139,0.794511319166336,0.6243346146850146,0.6243346146850146
50,loso_sbj_4,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_4/best_macro_metrics_loso_sbj_4.csv,0.6746815637162689,0.7214350235882029,0.6496871988708474,0.6496871988708474
50,loso_sbj_5,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_5/best_macro_metrics_loso_sbj_5.csv,0.5023569955849504,0.5295615125468687,0.5441156908242699,0.5441156908242699
50,loso_sbj_6,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_6/best_macro_metrics_loso_sbj_6.csv,0.812642828089874,0.879219252676713,0.7808548582767904,0.7808548582767904
50,loso_sbj_7,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_7/best_macro_metrics_loso_sbj_7.csv,0.7219103630103451,0.8099746637894288,0.6870581088151084,0.6870581088151084
50,loso_sbj_8,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_8/best_macro_metrics_loso_sbj_8.csv,0.7892804474286631,0.8696256684865368,0.7511089395818861,0.7511089395818861
50,loso_sbj_9,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_9/best_macro_metrics_loso_sbj_9.csv,0.33183270041494206,0.4146529243630041,0.5505105593976061,0.5505105593976061
