rate_hz,split,activity,f1,file
6,loso_sbj_11,stretching (shoulders),0.7608695652173914,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,stretching (triceps),0.8444444444444444,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_12,nan,0.5454545454545454,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,bench-dips,0.7864693446088795,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,burpees,0.5194805194805194,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,jogging,0.9387755102040816,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,jogging (butt-kicks),0.868632707774799,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,jogging (rotating arms),0.7211267605633803,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,jogging (sidesteps),0.9361702127659576,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,jogging (skipping),0.8201754385964912,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,lunges,0.6069651741293532,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,lunges (complex),0.4244372990353697,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,push-ups,0.5389473684210526,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,push-ups (complex),0.5365853658536586,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,sit-ups,0.824295010845987,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,sit-ups (complex),0.7279411764705882,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,stretching (hamstrings),0.3982494529540481,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,stretching (lumbar rotation),0.9509803921568628,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,stretching (lunging),0.6666666666666666,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,stretching (shoulders),0.5873261205564142,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_12,stretching (triceps),0.8604118993135011,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
6,loso_sbj_13,nan,0.5377749442142175,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,bench-dips,0.4736842105263157,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,burpees,0.6773455377574371,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,jogging,0.8087649402390438,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,jogging (butt-kicks),0.8312958435207825,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
