activity,f1,rate,split,csv_path
lunges (complex),0.727131,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
push-ups,0.488078,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
push-ups (complex),0.612022,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
sit-ups,0.921369,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
sit-ups (complex),0.876452,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (hamstrings),0.802345,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (lumbar rotation),0.890210,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (lunging),0.480683,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (shoulders),0.581130,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (triceps),0.845858,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
null,0.544317,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
bench-dips,0.767607,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
burpees,0.604790,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging,0.905401,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging (butt-kicks),0.905204,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging (rotating arms),0.791453,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging (sidesteps),0.775274,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging (skipping),0.815211,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
lunges,0.543810,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
lunges (complex),0.070813,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
push-ups,0.754356,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
push-ups (complex),0.617523,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
sit-ups,0.810981,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
sit-ups (complex),0.775625,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (hamstrings),0.881801,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (lumbar rotation),0.883549,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (lunging),0.836344,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (shoulders),0.701719,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (triceps),0.864318,6,loso_sbj_8,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
null,0.323182,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
bench-dips,0.001810,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
burpees,0.210182,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging,0.253731,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging (butt-kicks),0.530885,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging (rotating arms),0.023617,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging (sidesteps),0.374486,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging (skipping),0.362853,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
lunges,0.117105,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
lunges (complex),0.366759,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
push-ups,0.002438,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
push-ups (complex),0.464897,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
sit-ups,0.000000,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
sit-ups (complex),0.095136,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
stretching (hamstrings),0.650615,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
stretching (lumbar rotation),0.884242,6,loso_sbj_9,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
